c.3500 BC | Invention of the <a href="http://en.wikipedia.org/wiki/Wheel">wheel</a> and <a href="http://en.wikipedia.org/wiki/Plough">plough</a> in Mesopotamia (present-day Iraq); invention of the <a href="http://en.wikipedia.org/wiki/Sail">sail</a> in Egypt: three fundamental inventions for trade, agriculture and exploration.
c.3200 BC | Invention of writing in Mesopotamia: the means to record and understand human history. (<a href="http://www.bookyards.com/categories.html?type=books&amp;category_id=137">Ancient History &#8212; Bookyards</a>)
c.3000 BC | Founding of the first cities in Sumeria (present-day Iraq): origin of modern social and administrative structures. (<a href="http://www.bookyards.com/categories.html?type=books&amp;category_id=137">Ancient History &#8212; Bookyards</a>)
c.1600 BC | Modern alphabet invented: the essential means of communication of complex concepts and culture. (<a href="http://www.bookyards.com/categories.html?type=books&amp;category_id=137">Ancient History &#8212; Bookyards</a>)
c.1600 BC | Beginning of Greek civilisation: essential to Western heritage and the root of mathematics, philosophy, political thinking and medicine. (<a href="http://www.bookyards.com/categories.html?type=books&amp;category_id=138">Greek History &#8212; Bookyards</a>)
753 BC    | Foundation of Rome: the Roman Empire is a pillar of the modern age, producing ideas on justice, law, engineering and warfare. (<a href="http://www.bookyards.com/categories.html?type=books&amp;category_id=139">Roman History &#8212; Bookyards</a>)
c.670 BC  | Invention of <a href="http://en.wikipedia.org/wiki/Iron_Age">ironworking</a>: metallurgy is the key to further technical, economic and military developments.
c.551 BC  | Birth of Confucius, the founder of one of the world's major philosophical systems. (<a href="http://www.bookyards.com/biography.html?author_id=2579&amp;author_name=Confucius">Confucius &#8212; Bookyards</a>)
490 BC    | <a href="http://en.wikipedia.org/wiki/Battle_of_marathon">Battle of Marathon</a>: the Greeks repel a Persian invasion, securing the survival of Greek culture and science. (<a href="http://www.bookyards.com/categories.html?type=books&amp;category_id=138">Greek History &#8212; Bookyards</a>)
486 BC    | <a href="http://en.wikipedia.org/wiki/Budha">Birth of Buddha</a>, founder of one of the world's major religions. (<a href="http://www.bookyards.com/categories.html?type=books&amp;category_id=190">Buddhism &#8212; Bookyards</a>)
327 BC    | Empire of <a href="http://en.wikipedia.org/wiki/Alexander_the_great">Alexander the Great</a> reaches into India: the first example of a long-term and often violent interrelationship between Europe and Asia. (<a href="http://www.bookyards.com/categories.html?type=books&amp;category_id=138">Greek History &#8212; Bookyards</a>)
202 BC    | <a href="http://en.wikipedia.org/wiki/Hannibal">Hannibal</a> is defeated by Rome: the victory is essential to secure the survival and expansion of Roman civilisation. (<a href="http://www.bookyards.com/categories.html?type=books&amp;category_id=139">Roman History &#8212; Bookyards</a>)
27 BC     | Founding of the Roman Empire: this is the start of the classic period of Roman domination in Europe and the Mediterranean. (<a href="http://www.bookyards.com/categories.html?type=books&amp;category_id=139">Roman History &#8212; Bookyards</a>)
c.5 BC    | Birth of Jesus Christ, founder of the many branches of Christianity. The exact date is disputed. (<a href="http://www.bookyards.com/categories.html?type=books&amp;category_id=191">Christianity &#8212; Bookyards</a>)
AD 105    | First use of modern <a href="http://en.wikipedia.org/wiki/Paper">paper</a>: this replaced stone, slate, papyrus and vellum as a cheap and convenient medium.
AD 280    | Unification of China under the Western Chin dynasty creates the political shape of modern China. (<a href="http://www.bookyards.com/categories.html?type=books&amp;category_id=142">Asian History &#8212; Bookyards</a>)
AD 312    | Roman Emperor Constantine converts to Christianity: this made it possible for Christianity to spread across Europe. (<a href="http://www.bookyards.com/categories.html?type=books&amp;category_id=191">Christianity &#8212; Bookyards</a>)
AD 476    | Fall of the Roman Empire in the West ends 800 years of Roman hegemony. The creation of Modern Europe begins. (<a href="http://www.bookyards.com/categories.html?type=books&amp;category_id=144">European History &#8212; Bookyards</a>)
c.AD 570  | Birth of Muhammad, founder of one of the world's great religions. (<a href="http://www.bookyards.com/categories.html?type=books&amp;category_id=193">Islam &#8212; Bookyards</a>)
c.AD 730  | <a href="http://en.wikipedia.org/wiki/Printing">Printing invented in China</a>: an essential step in mass communication/ administration/cultural dissemination.
